voteId,dateDecision,issue,issueArea
1946-001-01-01-01,11/18/1946,80180,8
1946-002-01-01-01,11/18/1946,10500,1
1946-003-01-01-01,11/18/1946,80250,8
1946-004-01-01-01,11/25/1946,20150,2
1946-005-01-01-01,11/25/1946,80060,8
1946-006-01-01-01,11/25/1946,80100,8
1946-007-01-01-01,11/25/1946,80120,8
1946-008-01-01-01,12/9/1946,90200,9
1946-009-01-01-01,12/9/1946,70190,7
1946-010-01-01-01,12/9/1946,80030,8
1946-011-01-01-01,12/9/1946,10120,1
1946-012-01-01-01,12/9/1946,20130,2
1946-013-01-01-01,12/9/1946,10430,1
1946-014-01-01-01,12/9/1946,10400,1
1946-015-01-01-01,12/9/1946,80320,8
1946-016-01-01-01,12/9/1946,40070,4
1946-017-01-01-01,12/16/1946,80100,8
1946-018-01-01-01,12/16/1946,80170,8
1946-019-01-01-01,12/16/1946,120010,12
1946-020-01-01-01,12/23/1946,30130,3
1946-021-01-01-01,12/23/1946,30130,3
1946-022-01-01-01,12/23/1946,70100,7
1946-023-01-01-01,12/23/1946,30130,3
1946-024-01-01-01,12/23/1946,120030,12
1946-025-01-01-01,12/23/1946,10430,1
1946-026-01-01-01,1/6/1947,80180,8
1946-027-01-01-01,1/6/1947,80180,8
1946-028-01-01-01,1/6/1947,80100,8
1946-029-01-01-01,1/6/1947,80230,8
1946-030-01-01-01,1/6/1947,80110,8
1946-031-01-01-01,1/6/1947,80120,8
1946-032-01-01-01,1/13/1947,80040,8
1946-033-01-01-01,1/13/1947,10130,1
1946-034-01-01-01,1/13/1947,90110,9
1946-035-01-01-01,1/13/1947,50040,5
1946-036-01-01-01,1/13/1947,90320,9
1946-037-01-01-01,1/20/1947,90120,9
1946-038-01-01-01,1/20/1947,90120,9
1946-039-01-01-01,1/20/1947,110030,11
1946-040-01-01-01,1/20/1947,80030,8
1946-041-01-01-01,1/20/1947,80060,8
1946-042-01-01-01,2/3/1947,80220,8
1946-043-01-01-01,2/3/1947,40070,4
1946-044-01-01-01,2/3/1947,80220,8
1946-045-01-01-01,2/3/1947,80180,8
1946-046-01-01-01,2/3/1947,80040,8
1946-047-01-01-01,2/3/1947,80060,8
1946-048-01-01-01,2/3/1947,10120,1
1946-049-01-01-01,2/10/1947,30170,3
1946-050-01-01-01,2/10/1947,90340,9
1946-051-01-01-01,2/10/1947,30010,3
1946-052-01-01-01,2/17/1947,70040,7
1946-053-01-01-01,2/17/1947,10170,1
1946-054-01-01-01,2/17/1947,20150,2
1946-055-01-01-01,2/17/1947,90460,9
1946-056-01-01-01,3/3/1947,90330,9
1946-057-01-01-01,3/3/1947,70070,7
1946-058-01-01-01,3/3/1947,80220,8
1946-059-01-01-01,3/3/1947,80220,8
1946-060-01-01-01,3/6/1947,10080,1
1946-061-01-01-01,3/10/1947,100050,10
1946-062-01-01-01,3/10/1947,70020,7
1946-063-01-01-01,3/10/1947,80100,8
1946-064-01-01-01,3/10/1947,80050,8
1946-065-01-01-01,3/10/1947,90140,9
1946-066-01-01-01,3/10/1947,80040,8
1946-067-01-01-01,3/10/1947,70070,7
1946-068-01-01-01,3/10/1947,90140,9
1946-069-01-01-01,3/10/1947,90140,9
1946-070-01-01-01,3/17/1947,120030,12
1946-071-01-01-01,3/31/1947,70040,7
1946-072-01-01-01,3/31/1947,20060,2
1946-073-01-01-01,3/31/1947,80230,8
1946-074-01-01-01,3/31/1947,10080,1
1946-075-01-01-01,3/31/1947,110030,11
1946-076-01-01-01,3/31/1947,110030,11
1946-077-01-01-01,3/31/1947,10600,1
1946-078-01-01-01,3/31/1947,70040,7
1946-079-01-01-01,3/31/1947,70040,7
1946-080-01-01-01,4/7/1947,120010,12
1946-081-01-01-01,4/7/1947,10480,1
1946-082-01-01-01,4/7/1947,90320,9
1946-083-01-01-01,4/7/1947,80010,8
1946-084-01-01-01,4/7/1947,100030,10
1946-085-01-01-01,4/14/1947,120010,12
1946-086-01-01-01,4/14/1947,70040,7
1946-087-01-01-01,4/14/1947,80030,8
1946-088-01-01-01,4/14/1947,20250,2
1946-089-01-01-01,4/14/1947,80100,8
1946-090-01-01-01,4/28/1947,90380,9
1946-091-01-01-01,4/28/1947,90340,9
1946-092-01-01-01,4/28/1947,10360,1
1946-093-01-01-01,4/28/1947,80200,8
1946-094-01-01-01,4/28/1947,90320,9
1946-095-01-01-01,5/5/1947,10050,1
1946-096-01-01-01,5/5/1947,70040,7
1946-097-01-01-01,5/5/1947,120010,12
1946-098-01-01-01,5/5/1947,100030,10
1946-099-01-01-01,5/5/1947,100030,10
1946-100-01-01-01,5/12/1947,100010,10
1946-101-01-01-01,5/12/1947,80220,8
1946-102-01-01-01,5/19/1947,30010,3
1946-103-01-01-01,5/19/1947,70130,7
1946-104-01-01-01,5/19/1947,90130,9
1946-105-01-01-01,5/19/1947,80170,8
1946-106-01-01-01,6/2/1947,90520,9
1946-107-01-01-01,6/2/1947,10370,1
1946-108-01-01-01,6/2/1947,80040,8
1946-109-01-01-01,6/9/1947,80100,8
1946-110-01-01-01,6/9/1947,20310,2
1946-111-01-01-01,6/9/1947,70200,7
1946-112-01-01-01,6/9/1947,20240,2
1946-113-01-01-01,6/9/1947,90380,9
1946-114-01-01-01,6/9/1947,90180,9
1946-115-01-01-01,6/9/1947,110030,11
1946-116-01-01-01,6/16/1947,80030,8
1946-117-01-01-01,6/16/1947,80300,8
1946-118-01-01-01,6/16/1947,120010,12
1946-119-01-01-01,6/16/1947,120010,12
1946-120-01-01-01,6/16/1947,70040,7
1946-121-01-01-01,6/16/1947,80070,8
1946-122-01-01-01,6/16/1947,120010,12
1946-123-01-01-01,6/16/1947,40070,4
1946-124-01-01-01,6/16/1947,90050,9
1946-125-01-01-01,6/23/1947,30010,3
1946-126-01-01-01,6/23/1947,10090,1
1946-127-01-01-01,6/23/1947,120010,12
1946-128-01-01-01,6/23/1947,10120,1
1946-129-01-01-01,6/23/1947,10120,1
1946-130-01-01-01,6/23/1947,80070,8
1946-131-01-01-01,6/23/1947,80100,8
1946-132-01-01-01,6/23/1947,30130,3
1946-133-01-01-01,6/23/1947,80120,8
1946-134-01-01-01,6/23/1947,80010,8
1946-135-01-01-01,6/23/1947,80060,8
1946-136-01-01-01,6/23/1947,80030,8
1946-137-01-01-01,6/23/1947,90370,9
1946-138-01-01-01,6/23/1947,10190,1
1946-139-01-01-01,6/23/1947,80070,8
1946-140-01-01-01,6/23/1947,80010,8
1946-143-01-01-01,6/23/1947,100040,10
1946-144-01-01-01,3/31/1947,,
1947-001-01-01-01,11/10/1947,10430,1
1947-002-01-01-01,11/10/1947,80060,8
1947-003-01-01-01,11/10/1947,20110,2
1947-004-01-01-01,11/10/1947,80010,8
1947-005-01-01-01,11/17/1947,80060,8
1947-006-01-01-01,11/17/1947,70040,7
1947-007-01-01-01,11/24/1947,30130,3
1947-008-01-01-01,11/24/1947,80040,8
1947-009-01-01-01,12/8/1947,20040,2
1947-010-01-01-01,12/8/1947,40070,4
1947-011-01-01-01,12/8/1947,40070,4
1947-012-01-01-01,12/8/1947,90120,9
1947-013-01-01-01,12/8/1947,80100,8
1947-014-01-01-01,12/15/1947,100030,10
1947-015-01-01-01,12/22/1947,120010,12
1947-016-01-01-01,12/22/1947,120010,12
1947-017-01-01-01,12/22/1947,10400,1
1947-018-01-01-01,12/22/1947,10280,1
1947-019-01-01-01,1/5/1948,90110,9
1947-020-01-01-01,1/5/1948,10400,1
1947-021-01-01-01,1/5/1948,10050,1
1947-022-01-01-01,1/12/1948,10010,1
1947-023-01-01-01,1/12/1948,80040,8
1947-024-01-01-01,1/12/1948,20050,2
1947-025-01-01-01,1/19/1948,20040,2
1947-026-01-01-01,1/19/1948,80170,8
1947-027-01-01-01,1/19/1948,10120,1
1947-028-01-01-01,1/19/1948,10010,1
1947-029-01-01-01,2/2/1948,20240,2
1947-030-01-01-01,2/2/1948,20110,2
1947-031-01-01-01,2/2/1948,10050,1
1947-032-01-01-01,2/2/1948,10410,1
1947-033-01-01-01,2/2/1948,20040,2
1947-034-01-01-01,2/9/1948,80040,8
1947-035-01-01-01,2/9/1948,10080,1
1947-036-01-01-01,2/9/1948,90190,9
1947-037-01-01-01,2/9/1948,90120,9
1947-038-01-01-01,2/16/1948,80110,8
1947-039-01-01-01,2/16/1948,80180,8
1947-040-01-01-01,2/16/1948,40070,4
1947-041-01-01-01,2/16/1948,20050,2
1947-042-01-01-01,3/8/1948,90320,9
1947-043-01-01-01,3/8/1948,90140,9
1947-044-01-01-01,3/8/1948,80220,8
1947-045-01-01-01,3/8/1948,30020,3
1947-046-01-01-01,3/8/1948,40010,4
1947-047-01-01-01,3/8/1948,30180,3
1947-048-01-01-01,3/8/1948,10080,1
1947-049-01-01-01,3/8/1948,80010,8
1947-050-01-01-01,3/8/1948,80010,8
1947-051-01-01-01,3/8/1948,20250,2
1947-052-01-01-01,3/8/1948,10550,1
1947-053-01-01-01,3/15/1948,90320,9
1947-054-01-01-01,3/15/1948,70200,7
1947-055-01-01-01,3/15/1948,80070,8
1947-056-01-01-01,3/15/1948,80170,8
1947-057-01-01-01,3/15/1948,10480,1
1947-058-01-01-01,3/29/1948,120010,12
1947-059-01-01-01,3/29/1948,30010,3
1947-060-01-01-01,3/29/1948,80110,8
1947-061-01-01-01,3/29/1948,20040,2
1947-062-01-01-01,4/5/1948,40010,4
1947-063-01-01-01,4/5/1948,20150,2
1947-064-01-01-01,4/5/1948,90460,9
1947-065-01-01-01,4/19/1948,120030,12
1947-066-01-01-01,4/19/1948,10120,1
1947-067-01-01-01,4/26/1948,40010,4
1947-068-01-01-01,4/26/1948,10220,1
1947-069-01-01-01,4/26/1948,80220,8
1947-070-01-01-01,4/26/1948,80010,8
1947-071-01-01-01,4/26/1948,80040,8
1947-072-01-01-01,5/3/1948,20040,2
1947-073-01-01-01,5/3/1948,20040,2
1947-074-01-01-01,5/3/1948,80010,8
1947-075-01-01-01,5/3/1948,90380,9
1947-076-01-01-01,5/3/1948,80010,8
1947-077-01-01-01,5/3/1948,80010,8
1947-078-01-01-01,5/3/1948,80010,8
1947-079-01-01-01,5/3/1948,100020,10
1947-080-01-01-01,5/10/1948,90320,9
1947-081-01-01-01,5/10/1948,80010,8
1947-082-01-01-01,5/17/1948,70040,7
1947-083-01-01-01,5/24/1948,90330,9
1947-084-01-01-01,5/24/1948,10020,1
1947-085-01-01-01,5/24/1948,10340,1
1947-086-01-01-01,5/24/1948,90320,9
1947-087-01-01-01,6/1/1948,40020,4
1947-088-01-01-01,6/1/1948,20250,2
1947-089-01-01-01,6/7/1948,40060,4
1947-090-01-01-01,6/7/1948,40060,4
1947-091-01-01-01,6/7/1948,20220,2
1947-092-01-01-01,6/7/1948,20120,2
1947-093-01-01-01,6/7/1948,10130,1
1947-094-01-01-01,6/7/1948,70040,7
1947-095-01-01-01,6/7/1948,80020,8
1947-096-01-01-01,6/7/1948,110030,11
1947-097-01-01-01,6/7/1948,110030,11
1947-098-01-01-01,6/7/1948,30010,3
1947-099-01-01-01,6/7/1948,90140,9
1947-100-01-01-01,6/14/1948,20250,2
1947-101-01-01-01,6/14/1948,40070,4
1947-102-01-01-01,6/14/1948,80100,8
1947-103-01-01-01,6/14/1948,90040,9
1947-104-01-01-01,6/14/1948,10050,1
1947-105-01-01-01,6/14/1948,80100,8
1947-106-01-01-01,6/14/1948,10120,1
1947-107-01-01-01,6/14/1948,10010,1
1947-108-01-01-01,6/14/1948,40070,4
1947-109-01-01-01,6/14/1948,90180,9
1947-110-01-01-01,6/21/1948,10110,1
1947-111-01-01-01,6/21/1948,10110,1
1947-112-01-01-01,6/21/1948,80100,8
1947-113-01-01-01,6/21/1948,80140,8
1947-114-01-01-01,6/21/1948,20110,2
1947-115-01-01-01,6/21/1948,10020,1
1947-116-01-01-01,6/21/1948,80030,8
1947-117-01-01-01,6/21/1948,40020,4
1947-119-01-01-01,5/17/1948,,
1948-001-01-01-01,10/21/1948,20030,2
1948-002-01-01-01,11/8/1948,80180,8
1948-003-01-01-01,11/8/1948,90140,9
1948-004-01-01-01,11/15/1948,80010,8
1948-005-01-01-01,11/15/1948,80040,8
1948-006-01-01-01,11/22/1948,20350,2
1948-007-01-01-01,11/22/1948,80170,8
1948-008-01-01-01,11/22/1948,80170,8
1948-009-01-01-01,11/22/1948,80270,8
1948-010-01-01-01,12/6/1948,70040,7
1948-011-01-01-01,12/13/1948,10010,1
1948-012-01-01-01,12/13/1948,10120,1
1948-013-01-01-01,12/13/1948,10050,1
1948-014-01-01-01,12/20/1948,20140,2
1948-015-01-01-01,12/20/1948,10330,1
1948-016-01-01-01,12/20/1948,10190,1
1948-017-01-01-01,1/3/1949,80070,8
1948-018-01-01-01,1/3/1949,70030,7
1948-019-01-01-01,1/3/1949,70030,7
1948-020-01-01-01,1/3/1949,80180,8
1948-021-01-01-01,1/3/1949,80220,8
1948-022-01-01-01,1/3/1949,120020,12
1948-023-01-01-01,1/17/1949,20280,2
1948-024-01-01-01,1/17/1949,120010,12
1948-025-01-01-01,1/17/1949,120010,12
1948-026-01-01-01,1/17/1949,80030,8
1948-027-01-01-01,1/17/1949,100020,10
1948-028-01-01-01,1/17/1949,120010,12
1948-029-01-01-01,1/31/1949,80040,8
1948-030-01-01-01,1/31/1949,30150,3
1948-031-01-01-01,1/31/1949,30020,3
1948-032-01-01-01,1/31/1949,120030,12
1948-033-01-01-01,2/7/1949,100030,10
1948-034-01-01-01,2/7/1949,10080,1
1948-035-01-01-01,2/7/1949,80100,8
1948-036-01-01-01,2/14/1949,120010,12
1948-037-01-01-01,2/14/1949,10080,1
1948-038-01-01-01,2/14/1949,80070,8
1948-039-01-01-01,2/14/1949,80040,8
1948-040-01-01-01,2/28/1949,20250,2
1948-041-01-01-01,2/28/1949,80110,8
1948-042-01-01-01,2/28/1949,40070,4
1948-043-01-01-01,2/28/1949,70110,7
1948-044-01-01-01,2/28/1949,80180,8
1948-045-01-01-01,3/7/1949,70040,7
1948-046-01-01-01,3/7/1949,100020,10
1948-047-01-01-01,3/7/1949,80030,8
1948-048-01-01-01,3/7/1949,100060,10
1948-049-01-01-01,3/14/1949,90340,9
1948-050-01-01-01,3/14/1949,80070,8
1948-051-01-01-01,3/14/1949,120010,12
1948-052-01-01-01,3/28/1949,120010,12
1948-053-01-01-01,3/28/1949,10290,1
1948-054-01-01-01,3/28/1949,80010,8
1948-055-01-01-01,4/4/1949,80220,8
1948-056-01-01-01,4/4/1949,30010,3
1948-057-01-01-01,4/4/1949,80030,8
1948-058-01-01-01,4/4/1949,80060,8
1948-059-01-01-01,4/4/1949,80110,8
1948-060-01-01-01,4/18/1949,80310,8
1948-061-01-01-01,4/18/1949,80260,8
1948-062-01-01-01,4/18/1949,10290,1
1948-063-01-01-01,4/18/1949,90330,9
1948-064-01-01-01,4/18/1949,80220,8
1948-065-01-01-01,4/18/1949,110030,11
1948-066-01-01-01,4/18/1949,10330,1
1948-067-01-01-01,4/25/1949,10170,1
1948-068-01-01-01,4/25/1949,10020,1
1948-069-01-01-01,4/25/1949,90340,9
1948-070-01-01-01,4/25/1949,80110,8
1948-071-01-01-01,5/2/1949,10050,1
1948-072-01-01-01,5/2/1949,90330,9
1948-073-01-01-01,5/9/1949,20110,2
1948-074-01-01-01,5/16/1949,30010,3
1948-075-01-01-01,5/16/1949,110030,11
1948-076-01-01-01,5/16/1949,80060,8
1948-077-01-01-01,5/31/1949,90140,9
1948-078-01-01-01,5/31/1949,90140,9
1948-079-01-01-01,5/31/1949,90140,9
1948-080-01-01-01,5/31/1949,20150,2
1948-081-01-01-01,5/31/1949,10110,1
1948-082-01-01-01,5/31/1949,80100,8
1948-083-01-01-01,5/31/1949,80070,8
1948-084-01-01-01,5/31/1949,90360,9
1948-085-01-01-01,5/31/1949,70070,7
1948-086-01-01-01,6/6/1949,10020,1
1948-087-01-01-01,6/6/1949,40020,4
1948-088-01-01-01,6/6/1949,90380,9
1948-089-01-01-01,6/6/1949,40020,4
1948-090-01-01-01,6/13/1949,80100,8
1948-091-01-01-01,6/13/1949,80010,8
1948-092-01-01-01,6/13/1949,40070,4
1948-093-01-01-01,6/13/1949,80060,8
1948-094-01-01-01,6/13/1949,120010,12
1948-095-01-01-01,6/20/1949,90120,9
1948-096-01-01-01,6/20/1949,40070,4
1948-097-01-01-01,6/20/1949,80300,8
1948-098-01-01-01,6/20/1949,20250,2
1948-099-01-01-01,6/20/1949,100130,10
1948-100-01-01-01,6/20/1949,100130,10
1948-101-01-01-01,6/20/1949,100130,10
1948-102-01-01-01,6/20/1949,80100,8
1948-103-01-01-01,6/20/1949,90520,9
1948-104-01-01-01,6/20/1949,90120,9
1948-105-01-01-01,6/20/1949,80100,8
1948-106-01-01-01,6/27/1949,80060,8
1948-107-01-01-01,6/27/1949,120010,12
1948-108-01-01-01,6/27/1949,70040,7
1948-109-01-01-01,6/27/1949,10120,1
1948-110-01-01-01,6/27/1949,80070,8
1948-111-01-01-01,6/27/1949,80070,8
1948-112-01-01-01,6/27/1949,80060,8
1948-113-01-01-01,6/27/1949,40070,4
1948-114-01-01-01,6/27/1949,10050,1
1948-115-01-01-01,6/27/1949,10010,1
1948-116-01-01-01,6/27/1949,10010,1
1948-117-01-01-01,6/27/1949,10010,1
1948-118-01-01-01,6/27/1949,10050,1
1948-119-01-01-01,6/27/1949,10530,1
1948-120-01-01-01,6/27/1949,80120,8
1948-121-01-01-01,6/27/1949,10060,1
1948-122-01-01-01,6/27/1949,90200,9
1948-146-01-01-01,4/25/1949,,
1948-170-01-01-01,2/7/1949,,
1948-171-01-01-01,10/25/1948,,
1948-172-01-01-01,12/20/1948,,
1948-173-01-01-01,5/2/1949,,
1949-001-01-01-01,11/7/1949,80060,8
1949-002-01-01-01,11/7/1949,90180,9
1949-003-01-01-01,11/7/1949,90140,9
1949-004-01-01-01,11/7/1949,40070,4
1949-005-01-01-01,11/7/1949,80100,8
1949-006-01-01-01,11/7/1949,120010,12
1949-007-01-01-01,11/7/1949,90140,9
1949-008-01-01-01,11/7/1949,80180,8
1949-009-01-01-01,11/14/1949,80170,8
1949-010-01-01-01,11/14/1949,20250,2
1949-011-01-01-01,11/14/1949,80240,8
1949-012-01-01-01,11/21/1949,80040,8
1949-013-01-01-01,11/21/1949,80030,8
1949-014-01-01-01,11/21/1949,60030,6
1949-015-01-01-01,12/5/1949,90030,9
1949-016-01-01-01,12/5/1949,80010,8
1949-017-01-01-01,12/5/1949,30010,3
1949-018-01-01-01,12/5/1949,70030,7
1949-019-01-01-01,12/12/1949,80060,8
1949-020-01-01-01,12/12/1949,80070,8
1949-021-01-01-01,12/12/1949,40070,4
1949-022-01-01-01,12/12/1949,120010,12
1949-023-01-01-01,12/19/1949,80060,8
1949-024-01-01-01,12/19/1949,80070,8
1949-025-01-01-01,12/19/1949,90320,9
1949-026-01-01-01,1/9/1950,120010,12
1949-027-01-01-01,1/9/1950,120010,12
1949-028-01-01-01,1/9/1950,90120,9
1949-029-01-01-01,1/9/1950,80300,8
1949-030-01-01-01,1/9/1950,20280,2
1949-031-01-01-01,1/16/1950,90380,9
1949-032-01-01-01,1/16/1950,20110,2
1949-033-01-01-01,1/16/1950,30120,3
1949-034-01-01-01,1/16/1950,10370,1
1949-035-01-01-01,2/6/1950,120010,12
1949-036-01-01-01,2/6/1950,80260,8
1949-037-01-01-01,2/6/1950,100100,10
1949-038-01-01-01,2/6/1950,90120,9
1949-039-01-01-01,2/6/1950,90120,9
1949-040-01-01-01,2/6/1950,90120,9
1949-041-01-01-01,2/6/1950,100030,10
1949-042-01-01-01,2/6/1950,100030,10
1949-043-01-01-01,2/6/1950,30200,3
1949-044-01-01-01,2/6/1950,80240,8
1949-045-01-01-01,2/13/1950,120020,12
1949-046-01-01-01,2/20/1950,10050,1
1949-047-01-01-01,2/20/1950,40040,4
1949-048-01-01-01,2/20/1950,20110,2
1949-049-01-01-01,2/20/1950,10050,1
1949-050-01-01-01,3/13/1950,100120,10
1949-051-01-01-01,3/13/1950,80070,8
1949-052-01-01-01,3/13/1950,20240,2
1949-053-01-01-01,3/13/1950,80070,8
1949-054-01-01-01,3/27/1950,40070,4
1949-055-01-01-01,3/27/1950,80220,8
1949-056-01-01-01,3/27/1950,90160,9
1949-057-01-01-01,3/27/1950,10190,1
1949-058-01-01-01,3/27/1950,90120,9
1949-059-01-01-01,4/3/1950,90040,9
1949-060-01-01-01,4/10/1950,100020,10
1949-061-01-01-01,4/10/1950,100020,10
1949-062-01-01-01,4/10/1950,10190,1
1949-063-01-01-01,4/17/1950,40070,4
1949-064-01-01-01,4/17/1950,90250,9
1949-065-01-01-01,4/24/1950,20040,2
1949-066-01-01-01,4/24/1950,40020,4
1949-067-01-01-01,4/24/1950,90160,9
1949-068-01-01-01,5/8/1950,10090,1
1949-069-01-01-01,5/8/1950,10090,1
1949-070-01-01-01,5/8/1950,30060,3
1949-071-01-01-01,5/8/1950,100030,10
1949-072-01-01-01,5/8/1950,30150,3
1949-073-01-01-01,5/8/1950,30010,3
1949-074-01-01-01,5/8/1950,80010,8
1949-075-01-01-01,5/8/1950,70040,7
1949-076-01-01-01,5/8/1950,30010,3
1949-077-01-01-01,5/15/1950,80100,8
1949-078-01-01-01,5/15/1950,90120,9
1949-079-01-01-01,5/15/1950,90120,9
1949-080-01-01-01,5/15/1950,120010,12
1949-081-01-01-01,5/29/1950,40020,4
1949-082-01-01-01,5/29/1950,80180,8
1949-083-01-01-01,6/5/1950,120010,12
1949-084-01-01-01,6/5/1950,20050,2
1949-085-01-01-01,6/5/1950,20050,2
1949-086-01-01-01,6/5/1950,40060,4
1949-087-01-01-01,6/5/1950,10120,1
1949-088-01-01-01,6/5/1950,90320,9
1949-089-01-01-01,6/5/1950,90140,9
1949-090-01-01-01,6/5/1950,40070,4
1949-091-01-01-01,6/5/1950,10020,1
1949-092-01-01-01,6/5/1950,40070,4
1949-093-01-01-01,6/5/1950,20040,2
1949-094-01-01-01,6/5/1950,80180,8
1949-095-01-01-01,6/5/1950,120030,12
1949-096-01-01-01,6/5/1950,20390,2
1949-097-01-01-01,6/5/1950,30060,3
1949-112-01-01-01,4/24/1950,,
1949-113-01-01-01,6/5/1950,100040,10
1949-114-01-01-01,6/5/1950,100010,10
1950-001-01-01-01,11/6/1950,90140,9
1950-002-01-01-01,11/6/1950,80060,8
1950-003-01-01-01,11/13/1950,90480,9
1950-004-01-01-01,11/13/1950,90460,9
1950-005-01-01-01,11/13/1950,10490,1
1950-006-01-01-01,11/13/1950,120030,12
1950-007-01-01-01,11/27/1950,80060,8
1950-008-01-01-01,11/27/1950,80060,8
1950-009-01-01-01,11/27/1950,80010,8
1950-010-01-01-01,11/27/1950,120020,12
1950-011-01-01-01,12/4/1950,40020,4
1950-012-01-01-01,12/4/1950,10020,1
1950-013-01-01-01,12/4/1950,80060,8
1950-014-01-01-01,12/4/1950,80180,8
1950-015-01-01-01,12/11/1950,10090,1
1950-016-01-01-01,12/11/1950,90250,9
1950-017-01-01-01,12/11/1950,80110,8
1950-018-01-01-01,12/11/1950,80110,8
1950-019-01-01-01,12/11/1950,20280,2
1950-020-01-01-01,1/2/1951,10600,1
1950-021-01-01-01,1/2/1951,80010,8
1950-022-01-01-01,1/2/1951,90120,9
1950-023-01-01-01,1/8/1951,80010,8
1950-024-01-01-01,1/15/1951,30160,3
1950-025-01-01-01,1/15/1951,30160,3
1950-026-01-01-01,1/15/1951,30010,3
1950-027-01-01-01,1/15/1951,10330,1
1950-028-01-01-01,1/15/1951,80120,8
1950-029-01-01-01,1/15/1951,80110,8
1950-030-01-01-01,1/15/1951,90120,9
1950-031-01-01-01,2/26/1951,10090,1
1950-032-01-01-01,2/26/1951,100030,10
1950-033-01-01-01,2/26/1951,90320,9
1950-034-01-01-01,2/26/1951,90130,9
1950-035-01-01-01,2/26/1951,90120,9
1950-036-01-01-01,2/26/1951,90120,9
1950-037-01-01-01,2/26/1951,50040,5
1950-038-01-01-01,2/26/1951,90120,9
1950-039-01-01-01,2/26/1951,90120,9
1950-040-01-01-01,2/26/1951,80040,8
1950-041-01-01-01,2/26/1951,80100,8
1950-042-01-01-01,2/26/1951,80100,8
1950-043-01-01-01,2/26/1951,80070,8
1950-044-01-01-01,2/26/1951,80100,8
1950-045-01-01-01,2/26/1951,80060,8
1950-046-01-01-01,2/26/1951,80010,8
1950-047-01-01-01,2/26/1951,80040,8
1950-048-01-01-01,3/12/1951,110030,11
1950-049-01-01-01,3/26/1951,120010,12
1950-050-01-01-01,3/26/1951,80170,8
1950-051-01-01-01,3/26/1951,80100,8
1950-052-01-01-01,3/26/1951,10580,1
1950-053-01-01-01,3/26/1951,90190,9
1950-054-01-01-01,4/9/1951,80170,8
1950-055-01-01-01,4/9/1951,90140,9
1950-056-01-01-01,4/9/1951,110030,11
1950-057-01-01-01,4/9/1951,20240,2
1950-058-01-01-01,4/9/1951,20270,2
1950-059-01-01-01,4/9/1951,20150,2
1950-060-01-01-01,4/9/1951,20040,2
1950-061-01-01-01,4/12/1951,30100,3
1950-062-01-01-01,4/23/1951,10170,1
1950-063-01-01-01,4/23/1951,20400,2
1950-064-01-01-01,4/23/1951,20400,2
1950-065-01-01-01,4/23/1951,80110,8
1950-066-01-01-01,4/23/1951,20240,2
1950-067-01-01-01,4/30/1951,40070,4
1950-068-01-01-01,4/30/1951,90250,9
1950-069-01-01-01,4/30/1951,10160,1
1950-070-01-01-01,5/7/1951,20110,2
1950-071-01-01-01,5/7/1951,90160,9
1950-072-01-01-01,5/7/1951,80070,8
1950-073-01-01-01,5/7/1951,20250,2
1950-074-01-01-01,5/7/1951,80250,8
1950-075-01-01-01,5/7/1951,90360,9
1950-076-01-01-01,5/7/1951,90100,9
1950-077-01-01-01,5/14/1951,30070,3
