caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01,11/18/46,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/46,10/23/46,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,35 U.S.C. § 33,78,78,1,8,1
1946-027,1946-027-01,1946-027-01-01,1946-027-01-01-01,1/6/47,1,329 U.S. 402,67 S. Ct. 421,91 L. Ed. 380,1947 U.S. LEXIS 3020,1946,1301,Vinson,28,MACGREGOR v. WESTINGHOUSE ELECTRIC & MANUFACTURING CO.,12/12/46,,177,,172,,6,,,0,302,45,300,45,0,5,2,1,1,4,0,1,1,0,80180,8,2,0,7,,5,507,,78,87,1,5,4
1946-055,1946-055-01,1946-055-01-01,1946-055-01-01-01,2/17/47,1,330 U.S. 183,67 S. Ct. 657,91 L. Ed. 832,1947 U.S. LEXIS 2649,1946,1301,Vinson,31,ANGEL v. BULLINGTON,3/5/46,11/18/46,123,,233,,1,,,0,100,38,24,,0,10,2,2,1,3,0,1,1,0,90460,9,1,0,7,,5,506,,80,78,1,6,3
1947-089,1947-089-01,1947-089-01-01,1947-089-01-01-01,6/7/48,1,334 U.S. 343,68 S. Ct. 1087,92 L. Ed. 2d 1429,1948 U.S. LEXIS 2080,1947,1301,Vinson,36,SHERRER v. SHERRER,10/13/47,,253,,168,,1,,,0,302,26,300,26,0,11,2,1,1,3,0,1,1,0,40060,4,2,0,2,,2,230,,87,87,1,7,2
1948-018,1948-018-01,1948-018-01-01,1948-018-01-01-01,1/3/49,1,335 U.S. 525,69 S. Ct. 251,93 L. Ed. 2d 212,1949 U.S. LEXIS 3023,1948,1301,Vinson,47,LINCOLN FEDERAL LABOR UNION et al. v. NORTHWESTERN IRON & METAL CO. et al.,11/8/48,,249,,151,,2,,,0,302,32,300,32,0,1,2,1,1,2,0,0,1,0,70030,7,1,0,2,,2,200,,78,87,1,9,0
1948-024,1948-024-01,1948-024-01-01,1948-024-01-01-01,1/17/49,1,335 U.S. 632,69 S. Ct. 322,93 L. Ed. 2d 288,1949 U.S. LEXIS 2950,1948,1301,Vinson,5,COMMISSIONER OF INTERNAL REVENUE v. ESTATE OF CHURCH,10/24/47,10/12/48,369,,240,,1,69,,0,9,,23,,1,2,2,1,1,3,0,1,1,0,120010,12,2,0,4,,3,345,,78,80,1,6,3
1948-035,1948-035-01,1948-035-01-01,1948-035-01-01-01,2/7/49,1,336 U.S. 169,69 S. Ct. 432,93 L. Ed. 2d 585,1949 U.S. LEXIS 2971,1948,1301,Vinson,244,"OTT, COMMISSIONER OF PUBLIC FINANCE, et al. v. MISSISSIPPI VALLEY BARGE LINE CO. et al.",1/5/49,,19,22,116,,2,,,0,75,22,25,,0,1,2,1,1,3,0,1,1,0,80100,8,2,0,2,,1,111,,81,87,1,8,1
1948-048,1948-048-01,1948-048-01-01,1948-048-01-01-01,3/7/49,1,336 U.S. 342,69 S. Ct. 561,93 L. Ed. 2d 721,1949 U.S. LEXIS 2942,1948,1301,Vinson,40,OKLAHOMA TAX COMMISSION v. TEXAS COMPANY,11/19/48,,4,42,198,,1,117,42,0,302,42,300,42,1,12,3,2,1,4,0,1,1,0,100060,10,1,0,7,,,,,85,87,1,9,0
1948-110,1948-110-01,1948-110-01-01,1948-110-01-01-01,6/27/49,1,337 U.S. 783,69 S. Ct. 1317,93 L. Ed. 2d 1692,1949 U.S. LEXIS 2922,1948,1301,Vinson,351,COSMOPOLITAN SHIPPING CO. v. McALLISTER,2/1/49,,234,,145,,1,,,0,96,,22,,0,12,2,2,1,3,0,1,1,0,80070,8,1,0,4,,3,348,,79,87,1,5,4
1949-049,1949-049-01,1949-049-01-01,1949-049-01-01-01,2/20/50,1,339 U.S. 56,70 S. Ct. 430,94 L. Ed. 2d 653,1950 U.S. LEXIS 2298,1949,1303,Vinson,293,UNITED STATES v. RABINOWITZ,1/11/50,,27,,100,,1,,,0,96,37,22,,1,10,3,2,1,3,0,1,1,0,10050,1,1,0,1,,2,205,,89,87,1,5,3
1949-059,1949-059-01,1949-059-01-01,1949-059-01-01-01,4/3/50,1,339 U.S. 200,70 S. Ct. 587,94 L. Ed. 2d 761,1950 U.S. LEXIS 2161,1949,1303,Vinson,51,"DARR v. BURFORD, WARDEN",12/5/49,,215,,28,42,1,,,0,105,42,30,,1,10,2,1,1,2,0,0,1,0,90040,9,1,0,7,4,3,341,,79,87,1,5,3
1951-084,1951-084-01,1951-084-01-01,1951-084-01-01-01,5/26/52,1,343 U.S. 495,72 S. Ct. 777,96 L. Ed. 2d 1098,1952 U.S. LEXIS 2796,1951,1303,Vinson,522,"JOSEPH BURSTYN, INC. v. WILSON, COMMISSIONER OF EDUCATION OF NEW YORK, et al.",4/24/52,,156,,19,37,2,117,37,0,301,37,300,37,1,1,2,1,3,3,0,1,1,0,30010,3,2,0,2,,2,200,NA,88,87,1,9,0
1953-069,1953-069-01,1953-069-01-01,1953-069-01-01-01,5/17/54,1,347 U.S. 483,74 S. Ct. 686,98 L. Ed. 2d 873,1954 U.S. LEXIS 2094,1953,1401,Warren,1,BROWN et al. v. BOARD OF EDUCATION OF TOPEKA et al.,12/8/52,12/7/53,224,,21,20,2,,,0,72,,72,,0,1,,1,3,1,1,1,1,0,20050,2,2,0,2,,2,231,,90,90,1,9,0
1954-001,1954-001-01,1954-001-01-01,1954-001-01-01-01,10/14/54,2,348 U.S. 1,75 S. Ct. 6,99 L. Ed. 2d 3,1954 U.S. LEXIS 1630,1954,1402,Warren,5 M,in re DISBARMENT OF ISSERMAN,,,111,,20,60,6,118,,0,,,,,0,1,,1,1,1,1,1,1,0,60040,6,2,0,4,,4,403,,,78,1,3,3
1956-101,1956-101-01,1956-101-01-01,1956-101-01-01-01,6/10/57,7,354 U.S. 1,77 S. Ct. 1222,1 L. Ed. 2d 1148,1957 U.S. LEXIS 729,1956,1405,Warren,701,"REID, SUPERINTENDENT, DISTRICT OF COLUMBIA JAIL, v. COVERT",5/3/56,2/27/57,19,60,253,,6,,,0,55,,55,,0,1,,2,2,2,0,0,1,0,20240,2,2,0,1,,3,377,,78,90,1,6,2
1956-125,1956-125-01,1956-125-01-01,1956-125-01-01-01,6/24/57,1,354 U.S. 416,77 S. Ct. 1360,1 L. Ed. 2d 1456,1957 U.S. LEXIS 584,1956,1405,Warren,302,VANDERBILT v. VANDERBILT et al.,4/22/57,,168,,253,,1,,,0,302,37,300,37,0,12,2,2,1,2,0,0,1,0,40060,4,2,0,2,,1,143,,78,78,1,6,2
1958-021,1958-021-01,1958-021-01-01,1958-021-01-01-01,12/15/58,1,358 U.S. 169,79 S. Ct. 209,3 L. Ed. 2d 199,1958 U.S. LEXIS 2,1958,1406,Warren,2,LADNER v. UNITED STATES,11/19/57,10/22/58,126,,27,,6,,,0,85,,25,,0,1,2,1,1,4,0,1,1,0,10380,1,2,0,4,,6,600,18 U.S.C. § 254,92,90,1,8,1
1959-041,1959-041-01,1959-041-01-01,1959-041-01-01-01,2/29/60,1,362 U.S. 17,80 S. Ct. 519,4 L. Ed. 2d 524,1960 U.S. LEXIS 2012,1959,1406,Warren,64,UNITED STATES v. RAINES et al.,1/12/60,,27,,19,13,2,,,0,59,,59,,0,1,9,1,1,3,0,1,1,0,20010,2,2,0,4,,6,600,28 U.S.C. § 1252,92,90,1,9,0
1959-132,1959-132-01,1959-132-01-01,1959-132-01-01-01,6/27/60,1,364 U.S. 206,80 S. Ct. 1437,4 L. Ed. 2d 1669,1960 U.S. LEXIS 1989,1959,1406,Warren,126,ELKINS et al. v. UNITED STATES,3/28/60,,100,,27,,1,,,0,108,,29,,0,10,2,1,1,5,0,1,1,0,10050,1,2,0,1,3,2,205,,94,90,1,5,4
1960-090,1960-090-01,1960-090-01-01,1960-090-01-01-01,5/15/61,7,366 U.S. 213,81 S. Ct. 1052,6 L. Ed. 2d 246,1961 U.S. LEXIS 2014,1960,1406,Warren,63,JAMES v. UNITED STATES,11/17/60,,100,,27,,1,,,0,66,,27,,0,13,2,1,1,4,0,1,1,1,10490,1,2,0,4,,3,345,,90,90,1,6,3
1960-133,1960-133-01,1960-133-01-01,1960-133-01-01-01,6/19/61,1,367 U.S. 643,81 S. Ct. 1684,6 L. Ed. 2d 1081,1961 U.S. LEXIS 812,1960,1406,Warren,236,MAPP v. OHIO,3/29/61,,100,,28,41,2,,,0,302,41,300,41,0,1,2,2,1,4,0,1,1,0,10050,1,2,0,2,,2,205,,88,90,1,6,3
1961-051,1961-051-01,1961-051-01-01,1961-051-01-01-01,3/26/62,1,369 U.S. 186,82 S. Ct. 691,7 L. Ed. 2d 663,1962 U.S. LEXIS 1567,1961,1406,Warren,6,BAKER et al. v. CARR et al.,4/19/61,10/9/61,251,,19,50,2,,,1,117,,117,,0,1,,1,1,4,0,1,1,0,20090,2,2,0,3,,,,,92,90,1,6,2
1962-019,1962-019-01,1962-019-01-01,1962-019-01-01-01,12/10/62,1,371 U.S. 195,83 S. Ct. 267,9 L. Ed. 2d 246,1962 U.S. LEXIS 2174,1962,1408,Warren,13,SMITH v. EVENING NEWS ASSOCIATION,10/10/62,,145,,151,,1,,,0,302,27,300,27,0,12,2,2,1,4,0,1,1,0,100020,10,1,0,4,7,3,356,,95,90,1,8,1
1962-037,1962-037-01,1962-037-01-01,1962-037-01-01-01,1/21/63,1,371 U.S. 542,83 S. Ct. 531,9 L. Ed. 2d 514,1963 U.S. LEXIS 2516,1962,1408,Warren,87,"LOCAL NO. 438 CONSTRUCTION & GENERAL LABORERS' UNION, AFL-CIO, v. CURRY et al., DOING BUSINESS AS S. J. CURRY & CO.",11/7/62,,249,,120,,1,,,0,302,13,300,13,0,11,3,1,1,3,0,1,1,0,100020,10,2,0,4,,3,356,,95,90,1,9,0
1962-058,1962-058-01,1962-058-01-01,1962-058-01-01-01,3/18/63,1,372 U.S. 335,83 S. Ct. 792,9 L. Ed. 2d 799,1963 U.S. LEXIS 1942,1962,1408,Warren,155,"GIDEON v. WAINWRIGHT, CORRECTIONS DIRECTOR",1/15/63,,100,,28,12,1,,,0,302,12,300,12,0,11,9,1,3,4,0,1,1,0,10120,1,2,0,2,,2,214,,78,90,1,9,0
1962-060,1962-060-01,1962-060-01-01,1962-060-01-01-01,3/18/63,1,372 U.S. 368,83 S. Ct. 801,9 L. Ed. 2d 821,1963 U.S. LEXIS 1944,1962,1408,Warren,112,"GRAY, CHAIRMAN OF THE GEORGIA STATE DEMOCRATIC EXECUTIVE COMMITTEE, et al. v. SANDERS",1/17/63,,211,,251,,2,,,1,60,,60,,0,1,,2,3,5,0,0,1,0,20090,2,2,0,2,,2,231,,81,90,1,8,1
1962-061,1962-061-01,1962-061-01-01,1962-061-01-01-01,3/18/63,1,372 U.S. 391,83 S. Ct. 822,9 L. Ed. 2d 837,1963 U.S. LEXIS 1945,1962,1408,Warren,84,"FAY, WARDEN, et al. v. NOIA",1/7/63,,28,37,126,,1,,,0,96,,22,,1,12,3,2,1,2,0,0,1,0,10020,1,2,0,4,,3,341,,92,90,1,6,3
1962-080,1962-080-01,1962-080-01-01,1962-080-01-01-01,4/22/63,1,372 U.S. 726,83 S. Ct. 1028,10 L. Ed. 2d 93,1963 U.S. LEXIS 2497,1962,1408,Warren,111,"FERGUSON, ATTORNEY GENERAL OF KANSAS, et al. v. SKRUPA, DOING BUSINESS AS CREDIT ADVISORS",3/20/63,,28,20,135,,2,,,1,72,,72,,0,1,,1,1,3,0,1,1,0,80110,8,2,0,2,,2,230,,78,90,1,9,0
1963-047,1963-047-01,1963-047-01-01,1963-047-01-01-01,2/17/64,1,376 U.S. 1,84 S. Ct. 526,11 L. Ed. 2d 481,1964 U.S. LEXIS 1773,1963,1408,Warren,22,"WESBERRY et al. v. SANDERS, GOVERNOR OF GEORGIA, et al.",11/18/63,,251,,19,13,2,,,1,60,,60,,1,1,9,1,3,4,0,1,1,0,20090,2,2,0,2,,1,102,,78,90,1,6,3
1963-113,1963-113-01,1963-113-01-01,1963-113-01-01-01,5/18/64,1,377 U.S. 163,84 S. Ct. 1187,12 L. Ed. 2d 218,1964 U.S. LEXIS 1275,1963,1408,Warren,368,"SCHNEIDER v. RUSK, SECRETARY OF STATE",4/2/64,,106,,328,,2,28,,1,55,,55,,0,1,,1,2,3,0,1,1,0,20280,2,2,0,1,,3,344,,81,90,1,5,3
1963-146,1963-146-01,1963-146-01-01,1963-146-01-01-01,6/15/64,1,378 U.S. 1,84 S. Ct. 1489,12 L. Ed. 2d 653,1964 U.S. LEXIS 993,1963,1408,Warren,110,"MALLOY v. HOGAN, SHERIFF",3/5/64,,254,,28,8,1,,,0,302,8,300,8,0,12,2,1,1,3,0,1,1,0,10090,1,2,0,2,,2,210,,92,90,1,5,4
1963-147,1963-147-01,1963-147-01-01,1963-147-01-01-01,6/15/64,1,378 U.S. 52,84 S. Ct. 1594,12 L. Ed. 2d 678,1964 U.S. LEXIS 2229,1963,1408,Warren,138,MURPHY et al. v. WATERFRONT COMMISSION OF NEW YORK HARBOR,3/5/64,,254,,4,61,1,65,,0,302,35,300,35,0,12,2,1,1,7,1,1,1,0,10110,1,2,0,2,,2,231,,96,90,1,9,0
1963-162,1963-162-01,1963-162-01-01,1963-162-01-01-01,6/22/64,1,378 U.S. 368,84 S. Ct. 1774,12 L. Ed. 2d 908,1964 U.S. LEXIS 826,1963,1408,Warren,62,"JACKSON v. DENNO, WARDEN",12/9/63,,100,,28,37,1,,,0,96,,22,,0,10,2,1,1,4,0,1,1,1,10010,1,2,0,2,,2,230,,95,90,1,6,3
1963-164,1963-164-01,1963-164-01-01,1963-164-01-01-01,6/22/64,1,378 U.S. 478,84 S. Ct. 1758,12 L. Ed. 2d 977,1964 U.S. LEXIS 827,1963,1408,Warren,615,ESCOBEDO v. ILLINOIS,4/29/64,,100,,28,17,1,,,0,302,17,300,17,0,11,2,1,1,4,0,1,1,0,10120,1,2,0,2,,2,214,,96,90,1,5,4
1964-069,1964-069-01,1964-069-01-01,1964-069-01-01-01,4/5/65,1,380 U.S. 400,85 S. Ct. 1065,13 L. Ed. 2d 923,1965 U.S. LEXIS 1481,1964,1408,Warren,577,POINTER v. TEXAS,3/15/65,,100,,28,51,1,,,0,302,51,300,51,0,10,2,1,1,4,0,1,1,0,10270,1,2,0,2,,2,213,,78,90,1,9,0
1965-013,1965-013-01,1965-013-01-01,1965-013-01-01-01,11/22/65,1,382 U.S. 111,86 S. Ct. 258,15 L. Ed. 2d 194,1965 U.S. LEXIS 2252,1965,1409,Warren,9,"SWIFT & CO., INC., et al. v. WICKHAM, COMMISSIONER OF AGRICULTURE & MARKETS OF NEW YORK",10/13/65,,158,,19,37,2,4,,1,96,,96,,0,1,9,1,1,9,0,0,1,0,90340,9,1,0,4,,6,600,28 U.S.C. § 1253,91,90,1,6,3
1965-019,1965-019-01,1965-019-01-01,1965-019-01-01-01,12/6/65,1,382 U.S. 162,86 S. Ct. 352,15 L. Ed. 2d 240,1965 U.S. LEXIS 122,1965,1409,Warren,6,HARRIS v. UNITED STATES,10/11/65,,254,,27,,1,,,0,96,,22,,0,12,2,1,1,4,0,1,1,0,10080,1,2,0,4,,4,401,,81,90,1,5,4
1965-079,1965-079-01,1965-079-01-01,1965-079-01-01-01,3/24/66,1,383 U.S. 663,86 S. Ct. 1079,16 L. Ed. 2d 169,1966 U.S. LEXIS 2905,1965,1409,Warren,48,HARPER et al. v. VIRGINIA BOARD OF ELECTIONS et al.,1/25/66,,251,,4,55,2,,,1,126,,126,,0,1,9,1,3,3,0,1,1,0,20010,2,2,0,2,,2,231,,81,90,1,6,3
1965-122,1965-122-01,1965-122-01-01,1965-122-01-01-01,6/13/66,1,384 U.S. 436,86 S. Ct. 1602,16 L. Ed. 2d 694,1966 U.S. LEXIS 2817,1965,1409,Warren,759,MIRANDA v. ARIZONA,2/28/66,,100,,28,4,1,,,0,302,4,300,4,0,11,2,1,1,3,0,1,1,0,10100,1,2,0,2,,2,210,,90,90,1,5,4
1966-039,1966-039-01,1966-039-01-01,1966-039-01-01-01,1/16/67,7,385 U.S. 511,87 S. Ct. 625,17 L. Ed. 2d 574,1967 U.S. LEXIS 2504,1966,1409,Warren,62,SPEVACK v. KLEIN,11/7/66,,111,,6,37,1,,,0,301,37,300,37,0,11,2,1,1,3,0,1,1,0,10090,1,2,0,2,,2,210,,81,90,1,5,4
