caseid,usid,parties,year,overruled,overruling,oxford,liihc,indeg,outdeg,hub,hubrank,auth,authrank,between,incent
694,10US281,Hudson & Smith v. Guestier,1810,0,600,0,0,5,0,0,20250,5.10E-05,14095,0,0.103390382
1404,28US33,Gordon v. Ogden,1830,0,363,0,0,7,2,0,20250,1.17E-05,17471,4.10E-06,0.106159906
1527,31US291,Green v. Lessee of Neal,1832,0,913 1374,0,0,20,7,9.59E-06,17089,0.00039036,8155,6.13E-05,0.123977483
2041,43US497,"Louisville, C. & C. R. Co. v. Letson",1844,0,1871 551 633,1,0,25,3,3.46E-05,14609,0.00097497,5531,1.08E-05,0.132756188
2462,53US443,Propeller Genesee Chief v. Fitzhugh,1851,0,1216 1763,1,0,37,2,2.11E-05,15643,0.00094685,5621,1.24E-05,0.128621621
2917,61US372,Gazzam v. Lessee of Phillips,1857,0,2087,0,0,1,0,0,20250,0,20945,0,0.08389719
3182,65US427,Suydam v. Williamson,1860,0,2290 2291 2292,0,0,13,5,4.77E-06,18259,1.48E-05,16999,8.11E-05,0.110230585
3686,73US231,Mason v. Eldred,1867,0,690,0,0,5,1,0,20250,5.32E-06,18878,1.65E-06,0.103504284
3832,74US624,Belfast,1868,0,2965,0,0,28,12,1.97E-05,15784,0.00067011,6619,0.00015746,0.130115666
4208,79US457,Legal Tender Cases,1870,0,3904,1,0,26,6,0.000617,7297,0.0055708,1599,3.27E-05,0.128406666
4214,79US687,Trebilcock v. Wilson,1871,0,3362,0,0,1,5,9.41E-06,17118,4.69E-05,14309,2.03E-05,0.058161113
4644,85US648,Hornbuckle v. Toombs,1873,0,3278 3317 4141,0,0,16,2,0,20250,0.00071657,6428,2.62E-05,0.117465903
4884,89US444,Ry. Co. v. McShane,1874,0,4505,0,0,15,1,2.46E-06,19282,0.00012495,11575,1.65E-07,0.111755384
5421,95US360,County of Cass v. Johnston,1877,0,5115,0,0,7,2,0,20250,9.31E-05,12414,1.82E-05,0.113361134
5831,100US47,Fairfield v. County of Gallatin,1879,0,5118,0,0,13,12,8.64E-05,12515,3.40E-05,15140,7.03E-05,0.11424901
6111,102US707,Tilghman v. Proctor,1880,0,4682,0,0,14,2,1.15E-06,20116,5.22E-06,18911,1.07E-05,0.093636569
6134,103US168,Kilbourn v. Thompson,1880,0,1070,1,1,34,0,0,20250,0.00889883,975,0,0.123862227
6613,107US320,United States v. Phelps,1883,0,3589,0,0,0,0,0,20250,0,20945,0,0
6620,107US378,Kountze v. Omaha Hotel Co.,1883,0,2618,0,0,7,10,9.75E-06,17062,7.27E-06,18367,0.000132048,0.095075388
