caseId,description,landmark
1975-098, A case in which the United States Supreme Court held that a state could not limit pharmacistsê right to provide information about prescription drug prices. This was an important case in determining the application of the First Amendment to commercial speech.,
1951-084,"(Also referred to as the Miracle Decision), was a landmark decision by the United States Supreme Court which largely marked the decline of motion picture censorship in the United States. It determined that provisions of the New York Education Law which allowed a censor to forbid the commercial showing of a motion picture film it deemed to be &quot;sacrilegious&quot; was a &quot;restraint on freedom of speech&quot; and thereby a violation of the First Amendment. In recognizing that a film was an artistic medium entitled to protection under the First Amendment, the Court overturned its previous decision in Mutual Film Corporation v. Industrial Commission of Ohio (1915), which found that movies were not a form of speech worthy of First Amendment protection, but merely a business.",L
1978-084,A &quot;clear and convincing&quot; standard of proof is required by the Fourteenth Amendment in a civil proceeding brought under state law to commit an individual involuntarily for an indefinite period to a state mental hospital.,L
2000-084,"A 2001 case brought by Lorillard Tobacco Company when Massachusetts instituted a ban on tobacco ads and sales of tobacco within 1,000 feet (300 m) of schools and playgrounds. Lorillard argued that this was an infringement on its First Amendment rights and that the regulation was more extensive than necessary. Applying the Central Hudson Test, the U.S. Supreme Court held that Massachusetts&apos; ban on advertising and tobacco sales was overbroad. The Supreme Court also held that the Massachusetts regulation was preempted by federal law.",
1986-118,A 6-3 decision of the United States Supreme Court. The Court held that the complete destruction of the value of property constituted a &quot;taking&quot; under the Fifth Amendment even if that taking was temporary and the property was later restored.,
2004-078,"A case argued before the Supreme Court of the United States on March 2, 2005. At issue was whether the Court should continue to inquire into the purpose behind a religious display and whether evaluation of the government&apos;s claim of secular purpose for the religious displays may take evolution into account under an Establishment Clause of the First Amendment analysis.",
1970-141,"A case argued before the Supreme Court of the United States. The court ruled in an 8_1 decision that Pennsylvania&apos;s Nonpublic Elementary and Secondary Education Act (represented through David Kurtzman) from 1968 was unconstitutional, violating the Establishment Clause of the First Amendment. The act allowed the Superintendent of Public Schools to reimburse private schools (mostly Catholic) for the salaries of teachers who taught in these private schools, from public textbooks and with public instructional materials. The decision also upheld a decision of the United States District Court for the District of Rhode Island, which had struck down the Rhode Island Salary Supplement Act providing state funds to supplement salaries at private elementary schools by 15%. As in Pennsylvania, most of these funds were spent on Catholic schools.",L
1988-056,A case argued before the United States Supreme Court regarding the structure of the New York City Board of Estimate.,
1993-048,"A case before the United States Supreme Court in which the plaintiff (the petitioner), a private recycler with business in Clarkstown, New York, sought to ship its non-recyclable waste to cheaper waste processors out-of-state. Clarkstown opposed the move, and the company then brought suit, raising the unconstitutionality of Clarkstown&apos;s &quot;flow control ordinance,&quot; which required solid wastes that were not recyclable or hazardous to be deposited at a particular private company&apos;s transfer facility. The ordinance involved fees that were above market rates. The Supreme Court sided with the plaintiff, concluding that Clarkstown&apos;s ordinance violated the Dormant Commerce Clause.",
1988-029,"A case brought before the US Supreme Court in November 1988. The case (initiated by the publishers of Texas Monthly, a well-known general-interest magazine in Texas) was to test the legality of a Texas statute that exempted religious publications from paying state sales tax. The Court, in a 6-3 decision lacking a majority, overturned an appellate court&apos;s decision that the exemption was constitutional and remanded the case.",
1950-029,A case dealing with the Dormant Commerce Clause.,
1981-170,A case decided 5-4 by the Supreme Court of the United States. The court held that the single-sex admissions policy of the Mississippi University for Women violated the Equal Protection Clause of the Fourteenth Amendment to the United States Constitution.,L
1964-052,A case decided by the Supreme Court of the United States that dealt with an &quot;interpretation test&quot; permitted by the Louisiana Constitution of 1921 alleged to deprive Louisiana Negroes of voting rights in violation of 42 U.S.C. Section 1971(a) and the Fourteenth and Fifteenth Amendments.,
1965-051,A case decided by the Supreme Court of the United States that held that civil commitment following a prison term does not run afoul of double jeopardy principles.,
1975-134,A case decided by the Supreme Court of the United States that invalidated a state law that excluded aliens from the practice of civil engineering. The Court invalidated the law on the basis of equal protection using a strict scrutiny standard of review.,
