caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,uscite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,caseid,parties,year,overruled,overruling,indeg,outdeg
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01,11/18/1946,1.0,329US1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946.0,1301.0,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/1946,10/23/1946,198.0,,172.0,,6.0,,,0.0,51.0,6.0,29.0,,0.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,80180.0,8.0,2.0,0.0,4.0,,6.0,600.0,35 U.S.C. § 33,78.0,78.0,1.0,8.0,1.0,,,,,,,
1946-027,1946-027-01,1946-027-01-01,1946-027-01-01-01,1/6/1947,1.0,329US402,67 S. Ct. 421,91 L. Ed. 380,1947 U.S. LEXIS 3020,1946.0,1301.0,Vinson,28,MACGREGOR v. WESTINGHOUSE ELECTRIC & MANUFACTURING CO.,12/12/1946,,177.0,,172.0,,6.0,,,0.0,302.0,45.0,300.0,45.0,0.0,5.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,80180.0,8.0,2.0,0.0,7.0,,5.0,507.0,,78.0,87.0,1.0,5.0,4.0,,,,,,,
1946-055,1946-055-01,1946-055-01-01,1946-055-01-01-01,2/17/1947,1.0,330US183,67 S. Ct. 657,91 L. Ed. 832,1947 U.S. LEXIS 2649,1946.0,1301.0,Vinson,31,ANGEL v. BULLINGTON,3/5/1946,11/18/1946,123.0,,233.0,,1.0,,,0.0,100.0,38.0,24.0,,0.0,10.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,90460.0,9.0,1.0,0.0,7.0,,5.0,506.0,,80.0,78.0,1.0,6.0,3.0,20267.0,Angel v. Bullington,1947.0,0.0,13531,18.0,34.0
1947-089,1947-089-01,1947-089-01-01,1947-089-01-01-01,6/7/1948,1.0,334US343,68 S. Ct. 1087,92 L. Ed. 2d 1429,1948 U.S. LEXIS 2080,1947.0,1301.0,Vinson,36,SHERRER v. SHERRER,10/13/1947,,253.0,,168.0,,1.0,,,0.0,302.0,26.0,300.0,26.0,0.0,11.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,40060.0,4.0,2.0,0.0,2.0,,2.0,230.0,,87.0,87.0,1.0,7.0,2.0,20447.0,Sherrer v. Sherrer,1948.0,0.0,11594,13.0,32.0
1948-018,1948-018-01,1948-018-01-01,1948-018-01-01-01,1/3/1949,1.0,335US525,69 S. Ct. 251,93 L. Ed. 2d 212,1949 U.S. LEXIS 3023,1948.0,1301.0,Vinson,47,LINCOLN FEDERAL LABOR UNION et al. v. NORTHWESTERN IRON & METAL CO. et al.,11/8/1948,,249.0,,151.0,,2.0,,,0.0,302.0,32.0,300.0,32.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,70030.0,7.0,1.0,0.0,2.0,,2.0,200.0,,78.0,87.0,1.0,9.0,0.0,20495.0,Lincoln Federal Labor Union v. Northwestern Iron & Metal Co.,1949.0,0.0,12602,24.0,22.0
1948-024,1948-024-01,1948-024-01-01,1948-024-01-01-01,1/17/1949,1.0,335US632,69 S. Ct. 322,93 L. Ed. 2d 288,1949 U.S. LEXIS 2950,1948.0,1301.0,Vinson,5,COMMISSIONER OF INTERNAL REVENUE v. ESTATE OF CHURCH,10/24/1947,10/12/1948,369.0,,240.0,,1.0,69.0,,0.0,9.0,,23.0,,1.0,2.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,120010.0,12.0,2.0,0.0,4.0,,3.0,345.0,,78.0,80.0,1.0,6.0,3.0,20501.0,Commissioner v. Estate of Church,1949.0,0.0,17448,16.0,179.0
1948-035,1948-035-01,1948-035-01-01,1948-035-01-01-01,2/7/1949,1.0,336US169,69 S. Ct. 432,93 L. Ed. 2d 585,1949 U.S. LEXIS 2971,1948.0,1301.0,Vinson,244,"OTT, COMMISSIONER OF PUBLIC FINANCE, et al. v. MISSISSIPPI VALLEY BARGE LINE CO. et al.",1/5/1949,,19.0,22.0,116.0,,2.0,,,0.0,75.0,22.0,25.0,,0.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,80100.0,8.0,2.0,0.0,2.0,,1.0,111.0,,81.0,87.0,1.0,8.0,1.0,20513.0,Ott v. Mississippi Valley Barge Line Co.,1949.0,0.0,4127 12130 12316,13.0,33.0
1948-048,1948-048-01,1948-048-01-01,1948-048-01-01-01,3/7/1949,1.0,336US342,69 S. Ct. 561,93 L. Ed. 2d 721,1949 U.S. LEXIS 2942,1948.0,1301.0,Vinson,40,OKLAHOMA TAX COMMISSION v. TEXAS COMPANY,11/19/1948,,4.0,42.0,198.0,,1.0,117.0,42.0,0.0,302.0,42.0,300.0,42.0,1.0,12.0,3.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,100060.0,10.0,1.0,0.0,7.0,,,,,85.0,87.0,1.0,9.0,0.0,20526.0,Oklahoma Tax Com. v. Texas Co.,1949.0,0.0,14163 14560 18471,7.0,59.0
1948-110,1948-110-01,1948-110-01-01,1948-110-01-01-01,6/27/1949,1.0,337US783,69 S. Ct. 1317,93 L. Ed. 2d 1692,1949 U.S. LEXIS 2922,1948.0,1301.0,Vinson,351,COSMOPOLITAN SHIPPING CO. v. McALLISTER,2/1/1949,,234.0,,145.0,,1.0,,,0.0,96.0,,22.0,,0.0,12.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,80070.0,8.0,1.0,0.0,4.0,,3.0,348.0,,79.0,87.0,1.0,5.0,4.0,20589.0,Cosmopolitan Shipping Co. v. McAllister,1949.0,0.0,20205,6.0,17.0
1949-049,1949-049-01,1949-049-01-01,1949-049-01-01-01,2/20/1950,1.0,339US56,70 S. Ct. 430,94 L. Ed. 2d 653,1950 U.S. LEXIS 2298,1949.0,1303.0,Vinson,293,UNITED STATES v. RABINOWITZ,1/11/1950,,27.0,,100.0,,1.0,,,0.0,96.0,37.0,22.0,,1.0,10.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,10050.0,1.0,1.0,0.0,1.0,,2.0,205.0,,89.0,87.0,1.0,5.0,3.0,20653.0,United States v. Rabinowitz,1950.0,24550.0,20461 20490,61.0,23.0
